,Country_id,Country
0,0,Afghanistan
1,1,Albania
2,2,Algeria
3,3,Andorra
4,4,Angola
5,5,Antigua and Barbuda
6,6,Argentina
7,7,Armenia
8,8,Australia
9,9,Austria
10,10,Azerbaijan
11,11,Bahamas
12,12,Bahrain
13,13,Bangladesh
14,14,Barbados
15,15,Belarus
16,16,Belgium
17,17,Belize
18,18,Benin
19,19,Bhutan
20,20,Bolivia
21,21,Bosnia and Herzegovina
22,22,Botswana
23,23,Brazil
24,24,Brunei Darussalam
25,25,Bulgaria
26,26,Burkina Faso
27,27,Burundi
28,28,Cambodia
29,29,Cameroon
30,30,Canada
31,31,Cape Verde
32,32,Central African Republic
33,33,Chile
34,34,China
35,35,Colombia
36,36,"Congo, Republic of the..."
37,37,Costa Rica
38,38,Croatia
39,39,Cuba
40,40,Cyprus
41,41,Czech Republic
42,42,C̫te d'Ivoire
43,43,Democratic People's Republic of Korea
44,44,Democratic Republic of the Congo
45,45,Denmark
46,46,Djibouti
47,47,Dominica
48,48,Dominican Republic
49,49,Ecuador
50,50,Egypt
51,51,El Salvador
52,52,Eritrea
53,53,Estonia
54,54,Ethiopia
55,55,Fiji
56,56,Finland
57,57,France
58,58,Gabon
59,59,Gambia
60,60,Georgia
61,61,Germany
62,62,Ghana
63,63,Greece
64,64,Grenada
65,65,Guatemala
66,66,Guinea
67,67,Guinea-Bissau
68,68,Guyana
69,69,Haiti
70,70,Honduras
71,71,Hong Kong (S.A.R.)
72,72,Hungary
73,73,Iceland
74,74,India
75,75,Indonesia
76,76,"Iran, Islamic Republic of..."
77,77,Iraq
78,78,Ireland
79,79,Israel
80,80,Italy
81,81,Jamaica
82,82,Japan
83,83,Jordan
84,84,Kazakhstan
85,85,Kenya
86,86,Kuwait
87,87,Kyrgyzstan
88,88,Latvia
89,89,Lebanon
90,90,Lesotho
91,91,Liberia
92,92,Libyan Arab Jamahiriya
93,93,Liechtenstein
94,94,Lithuania
95,95,Luxembourg
96,96,Madagascar
97,97,Malawi
98,98,Malaysia
99,99,Maldives
100,100,Mali
101,101,Malta
102,102,Marshall Islands
103,103,Mauritania
104,104,Mauritius
105,105,Mexico
106,106,"Micronesia, Federated States of..."
107,107,Monaco
108,108,Mongolia
109,109,Montenegro
110,110,Morocco
111,111,Mozambique
112,112,Myanmar
113,113,Namibia
114,114,Nauru
115,115,Nepal
116,116,Netherlands
117,117,New Zealand
118,118,Nicaragua
119,119,Niger
120,120,Nigeria
121,121,North Korea
122,122,Norway
123,123,Oman
124,124,Other Country (Not Listed Above)
125,125,Pakistan
126,126,Palau
127,127,Panama
128,128,Paraguay
129,129,Peru
130,130,Philippines
131,131,Poland
132,132,Portugal
133,133,Qatar
134,134,Republic of Korea
135,135,Republic of Moldova
136,136,Romania
137,137,Russian Federation
138,138,Rwanda
139,139,Saint Lucia
140,140,San Marino
141,141,Saudi Arabia
142,142,Senegal
143,143,Serbia
144,144,Sierra Leone
145,145,Singapore
146,146,Slovakia
147,147,Slovenia
148,148,Solomon Islands
149,149,Somalia
150,150,South Africa
151,151,South Korea
152,152,Spain
153,153,Sri Lanka
154,154,Sudan
155,155,Suriname
156,156,Swaziland
157,157,Sweden
158,158,Switzerland
159,159,Syrian Arab Republic
160,160,Taiwan
161,161,Tajikistan
162,162,Thailand
163,163,The former Yugoslav Republic of Macedonia
164,164,Timor-Leste
165,165,Togo
166,166,Trinidad and Tobago
167,167,Tunisia
168,168,Turkey
169,169,Turkmenistan
170,170,Uganda
171,171,Ukraine
172,172,United Arab Emirates
173,173,United Kingdom
174,174,United Republic of Tanzania
175,175,United States
176,176,Uruguay
177,177,Uzbekistan
178,178,"Venezuela, Bolivarian Republic of..."
179,179,Viet Nam
180,180,Yemen
181,181,Zambia
182,182,Zimbabwe
183,183,
